epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,0.1849,0.9122,0.8546,0.8572,0.784,0.7984,0.000999,85.9
2,0.017,0.9985,0.8709,0.8679,0.8075,0.8225,0.000996,62.0
3,0.0208,0.3604,0.9284,0.9354,0.893,0.8983,0.000991,62.6
4,0.0079,1.1855,0.8714,0.8697,0.8072,0.8222,0.000984,62.0
5,0.0111,1.8546,0.8751,0.8744,0.8128,0.827,0.000976,62.0
6,0.0067,1.416,0.8751,0.8725,0.813,0.828,0.000965,62.0
7,0.0,1.3408,0.8773,0.8749,0.8163,0.8308,0.000952,62.0
8,0.0,1.2178,0.8775,0.8763,0.8167,0.8305,0.000938,62.0
9,0.0,1.1435,0.8813,0.8798,0.8224,0.8359,0.000922,63.0
10,0.0,1.2321,0.8791,0.8779,0.8191,0.8328,0.000905,62.0
11,0.0289,1.3398,0.8709,0.8707,0.807,0.8201,0.000885,62.0
12,0.0099,0.6706,0.9377,0.9479,0.9067,0.9123,0.000864,62.0
13,0.0053,1.0999,0.8813,0.8802,0.8222,0.8359,0.000842,62.0
